pokemon_id,form,count_poke,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
19,45,790,286.2319,3.608823996457461,0.30062123236018595,3.0190,7.8481,7.7873,7.5025,16.2595,51.417696,37.088586124792904,-8.10540565349001,0,0.0000,0,0.0000,3,0.3797,0,0.0000,0,0.0000,0,0.0000
309,1484,789,285.8696,15.662630031921715,0.6109376839056365,2.9949,7.7567,7.2662,7.6477,15.4411,50.378859,37.08468897028767,-8.111435219133357,0,0.0000,0,0.0000,3,0.3802,0,0.0000,1,0.1267,1,0.1267
344,0,786,284.7826,109.7759452698337,1.5027642779289536,3.0064,9.3244,9.1845,9.2608,19.5954,61.710496,37.092603566220646,-8.107969554376549,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
527,0,785,284.4203,2.1859187567416503,0.4016622417815485,3.0064,7.5541,7.7338,7.2076,15.4204,49.990089,37.096682353864075,-8.095103587994233,0,0.0000,1,0.1274,2,0.2548,0,0.0000,0,0.0000,0,0.0000
338,0,774,280.4348,157.21662217965397,1.1857606137045924,2.9806,8.2287,8.0078,8.0517,15.6744,53.973566,37.098912322888346,-8.093314110168697,1,0.1292,0,0.0000,1,0.1292,0,0.0000,0,0.0000,0,0.0000
912,0,761,275.7246,6.264481824894929,0.5013617305537874,3.0197,7.2733,7.6662,7.4284,15.1511,49.706623,37.09557628362448,-8.095957324433327,1,0.1314,0,0.0000,0,0.0000,0,0.0000,1,0.1314,0,0.0000
180,649,759,275.0000,13.648940153900972,0.7884525022173745,2.9974,7.8024,7.3307,7.3307,15.3742,49.919579,37.09453542916832,-8.095800607218811,1,0.1318,1,0.1318,0,0.0000,0,0.0000,1,0.1318,0,0.0000
605,0,750,271.7391,9.15230253780477,0.49873988218953674,3.0013,7.5067,7.6227,7.6533,15.5080,50.628,37.09965886955359,-8.091222242673279,0,0.0000,1,0.1333,1,0.1333,0,0.0000,0,0.0000,0,0.0000
84,0,749,271.3768,40.18506611873693,1.4002962004199366,3.0107,8.0481,7.8772,7.9319,16.7410,53.015888,37.09356525516636,-8.101391830830588,0,0.0000,1,0.1335,2,0.2670,0,0.0000,0,0.0000,0,0.0000
613,2231,746,270.2899,8.541462591350479,0.49626349174736323,2.9960,7.6072,7.4531,7.3794,15.2359,49.865764,37.09455999227978,-8.097749175167285,0,0.0000,0,0.0000,1,0.1340,0,0.0000,1,0.1340,0,0.0000
52,63,742,268.8406,4.322391073819441,0.40057544034687337,3.0067,7.8598,7.7520,7.9946,16.2520,52.458666,37.097144731998824,-8.089084763685849,0,0.0000,0,0.0000,1,0.1348,0,0.0000,0,0.0000,0,0.0000
