pokemon_id,form,count_poke,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
38,57,651,235.8696,20.48800816367482,1.1022530557922503,3.0000,7.9785,8.0200,8.0553,16.6743,53.452842,41.298460339711454,-7.737433821925403,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1536
58,280,633,229.3478,19.109301650580814,0.69444884036309,2.9984,7.9589,8.1659,8.0853,17.3112,53.800284,41.29800340960975,-7.738275465663608,0,0.0000,0,0.0000,1,0.1580,0,0.0000,0,0.0000,0,0.0000
167,0,620,224.6377,8.637864247401296,0.5069217087779837,3.0049,8.8274,8.8129,8.7419,19.0016,58.627242,41.296972370002365,-7.727572985618925,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
307,0,612,221.7391,11.53218755418179,0.6102536156578781,3.0016,8.7239,8.7843,8.7958,18.5441,58.453431,41.29873208069598,-7.736778873130885,1,0.1634,0,0.0000,1,0.1634,0,0.0000,0,0.0000,0,0.0000
176,0,606,219.5652,3.3610046892473013,0.6191617887307316,3.0066,8.5710,8.7426,8.6386,16.9719,57.671485,41.29578833557981,-7.736474594789891,1,0.1650,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
92,0,596,215.9420,0.10104360220791275,1.2933189774919673,3.0050,8.5956,8.7953,8.7315,19.1023,58.050084,41.29716974733262,-7.740127815948791,1,0.1678,1,0.1678,0,0.0000,0,0.0000,0,0.0000,0,0.0000
753,0,572,207.2464,1.518900182436813,0.29539395001280533,2.9983,7.9318,8.0717,8.4755,16.7885,54.397658,41.301900602749505,-7.735935298911978,0,0.0000,0,0.0000,1,0.1748,0,0.0000,0,0.0000,0,0.0000
32,776,566,205.0725,9.138508345550024,0.4974921856720541,3.0000,8.7367,8.8604,9.0671,18.7774,59.254134,41.29949398227637,-7.738235313483985,0,0.0000,0,0.0000,3,0.5300,0,0.0000,0,0.0000,0,0.0000
19,45,556,201.4493,3.529498602524936,0.2969665279437741,2.9892,7.8561,8.1547,7.8363,16.3058,52.993382,41.29706374667476,-7.738222366051981,0,0.0000,0,0.0000,1,0.1799,0,0.0000,0,0.0000,0,0.0000
16,0,540,195.6522,1.855838219600695,0.301785262177388,3.0148,8.2296,8.1370,8.1759,16.3352,54.539333,41.29418110636069,-7.732133243397567,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
