pokemon_id,form,count_poke,percentage,avg_level,avg_iv,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
30,779,45270,8414.4981,17.5546,55.437774,13,0.0287,4,0.0088,0,0.0000,3,0.0066,19,0.0420,5,0.0110
136,0,43003,7993.1227,17.8792,56.355646,9,0.0209,4,0.0093,0,0.0000,0,0.0000,4,0.0093,3,0.0070
938,0,42619,7921.7472,15.4859,49.91339,9,0.0211,12,0.0282,0,0.0000,12,0.0282,9,0.0211,21,0.0493
313,0,41635,7738.8476,15.9956,51.373356,7,0.0168,14,0.0336,79,0.1897,2,0.0048,9,0.0216,0,0.0000
456,0,41590,7730.4833,15.6185,50.262796,8,0.0192,12,0.0289,87,0.2092,7,0.0168,19,0.0457,0,0.0000
577,0,41561,7725.0929,16.4939,52.605341,10,0.0241,8,0.0192,70,0.1684,8,0.0192,21,0.0505,4,0.0096
421,95,40292,7489.2193,20.1028,62.143905,21,0.0521,0,0.0000,0,0.0000,1,0.0025,0,0.0000,0,0.0000
371,755,40268,7484.7584,17.2270,54.587235,10,0.0248,9,0.0224,79,0.1962,7,0.0174,7,0.0174,10,0.0248
335,0,39522,7346.0967,16.8121,53.615044,17,0.0430,7,0.0177,81,0.2049,1,0.0025,6,0.0152,8,0.0202
279,0,39026,7253.9033,17.2992,54.795794,15,0.0384,4,0.0102,0,0.0000,0,0.0000,7,0.0179,29,0.0743
359,830,38777,7207.6208,15.5144,50.140485,17,0.0438,12,0.0309,550,1.4184,9,0.0232,7,0.0181,13,0.0335
751,0,38769,7206.1338,15.6442,50.517056,12,0.0310,12,0.0310,85,0.2192,8,0.0206,8,0.0206,0,0.0000
662,0,37835,7032.5279,18.1952,57.378067,17,0.0449,6,0.0159,0,0.0000,1,0.0026,15,0.0396,36,0.0951
305,1472,37643,6996.8401,16.3541,52.554693,16,0.0425,8,0.0213,0,0.0000,6,0.0159,7,0.0186,8,0.0213
297,1454,37041,6884.9442,17.3903,55.073441,14,0.0378,14,0.0378,0,0.0000,1,0.0027,8,0.0216,6,0.0162
17,0,36753,6831.4126,18.1221,57.075205,17,0.0463,6,0.0163,0,0.0000,4,0.0109,5,0.0136,19,0.0517
180,649,36417,6768.9591,15.7334,50.715568,8,0.0220,2,0.0055,0,0.0000,4,0.0110,17,0.0467,10,0.0275
36,0,36079,6706.1338,17.4660,55.082322,13,0.0360,0,0.0000,0,0.0000,2,0.0055,6,0.0166,1,0.0028
707,0,35378,6575.8364,17.4930,55.646646,9,0.0254,3,0.0085,0,0.0000,3,0.0085,4,0.0113,0,0.0000
548,0,35204,6543.4944,18.2686,57.263661,15,0.0426,8,0.0227,75,0.2130,2,0.0057,0,0.0000,4,0.0114
708,0,35124,6528.6245,17.4205,54.974285,12,0.0342,0,0.0000,66,0.1879,6,0.0171,3,0.0085,4,0.0114
345,1568,34937,6493.8662,18.8833,59.030826,11,0.0315,1,0.0029,57,0.1632,1,0.0029,12,0.0343,11,0.0315
